id,order_id,product_style,variant_id,fulfillment_status,price,quantity
13325125855,7675398239,2c259a42d38f5f097274beff811168e2,50547057311,,35,1
13327045983,7676331935,dd804c4025d230467823200aa82e9219,50547118303,,79,1
13327109727,7676363167,f4e2e3c5433e4120889e2a7e0e0180a8,50553858975,,58,1
13327495903,7676539359,08ba660ec5643520a73108bef6f3ddd6,50547001887,fulfilled,25,1
13327518751,7676549855,68ac90e5df73ae9b662174b21dc1586f,50548035807,fulfilled,25,1
13327526495,7676553055,8945e6be376ffa754e06840e4865cc24,50766799839,fulfilled,68,1
13327549343,7676564127,2c259a42d38f5f097274beff811168e2,50547057823,fulfilled,35,1
13327555615,7676566815,08ba660ec5643520a73108bef6f3ddd6,50547000799,fulfilled,25,1
13327556959,7676567711,f4e2e3c5433e4120889e2a7e0e0180a8,50553858911,fulfilled,58,1
13327586847,7676582495,0aae1793ae53de4a8ea4c515173bf7e5,50553904863,fulfilled,68,1
13327601311,7676590623,6056dc7fb0e6987bfb6d08a8a707446f,50547135263,fulfilled,45,1
13327609951,7676594463,8945e6be376ffa754e06840e4865cc24,50766799775,fulfilled,68,1
13327613535,7676596255,c2055353ef80c5d326714f9d763bb78a,50554363231,fulfilled,58,1
13327623071,7676602079,68ac90e5df73ae9b662174b21dc1586f,50548035551,fulfilled,25,1
13327640351,7676610719,08ba660ec5643520a73108bef6f3ddd6,50546999071,fulfilled,25,1
13327640799,7676611039,68ac90e5df73ae9b662174b21dc1586f,50548035423,fulfilled,25,1
13327660127,7676619167,68ac90e5df73ae9b662174b21dc1586f,50548035679,fulfilled,25,1
13327662879,7676620191,2c259a42d38f5f097274beff811168e2,50547057311,fulfilled,35,1
13327685791,7676629791,6056dc7fb0e6987bfb6d08a8a707446f,50547135135,fulfilled,45,1
13327692831,7676633503,8a64f44587d83d703dbbe8e75c538175,50768926239,fulfilled,52,1
13327693151,7676633695,7e1dce2bdf896716eb83e57afd9d08c0,50553909407,fulfilled,65,1
13327698207,7676636959,74b088d3d11620183853189b81850850,50553868831,fulfilled,42,1
13327704287,7676638943,e3d8742f4eb202384d0ad5ab37e5298c,50547179807,fulfilled,52,1
13327710047,7676641375,68ac90e5df73ae9b662174b21dc1586f,50548035679,fulfilled,25,1
13327730911,7676649887,2c259a42d38f5f097274beff811168e2,50547057311,fulfilled,35,1
13327753951,7676657695,68ac90e5df73ae9b662174b21dc1586f,50548035679,fulfilled,25,1
13327755167,7676658079,2c259a42d38f5f097274beff811168e2,50547057311,fulfilled,35,1
13327794143,7676672351,2c259a42d38f5f097274beff811168e2,50547057311,fulfilled,35,1
13327843423,7676689567,68ac90e5df73ae9b662174b21dc1586f,50548035423,fulfilled,25,1
13327858079,7676695775,68ac90e5df73ae9b662174b21dc1586f,50548035679,fulfilled,25,2
13327899487,7676711455,2c259a42d38f5f097274beff811168e2,50547057311,fulfilled,35,1
13327904287,7676713759,e3d8742f4eb202384d0ad5ab37e5298c,50547179807,fulfilled,52,1
13327914271,7676717215,f4e2e3c5433e4120889e2a7e0e0180a8,50553858911,fulfilled,58,1
13327936031,7676724895,677b9227f454869d57276bb57cd05780,50553928543,fulfilled,45,1
13327940959,7676727455,677b9227f454869d57276bb57cd05780,50553928607,fulfilled,46,1
13328231903,7676824287,68ac90e5df73ae9b662174b21dc1586f,50548035423,fulfilled,25,1
